Student_ID,MST_Score,Quiz_Score,Attendance_Percent,Assignment_Score,Performance_Score,Performance_Category
STU0001,33.5,52.1,44.0,38.3,40.28,Needs Improvement
STU0002,78.8,78.8,82.1,86.3,80.96,High Performer
STU0003,98.7,72.1,78.5,97.7,89.14,High Performer
STU0004,70.3,70.2,77.9,50.7,67.88,Average Performer
STU0005,67.5,69.1,91.2,82.5,75.56,High Performer
STU0006,60.2,50.5,82.6,69.8,64.66,Average Performer
STU0007,67.7,64.6,82.3,50.3,66.52,Average Performer
STU0008,47.5,48.8,43.3,48.8,47.18,Needs Improvement
STU0009,24.9,45.6,86.6,34.6,43.32,Needs Improvement
STU0010,48.9,41.8,98.4,67.8,61.16,Average Performer
STU0011,75.1,73.7,71.5,61.2,71.32,Average Performer
STU0012,40.7,65.9,84.7,73.3,61.06,Average Performer
STU0013,83.8,85.6,70.1,74.4,79.54,High Performer
STU0014,57.8,45.5,69.3,47.8,55.64,Average Performer
STU0015,65.4,68.5,96.1,41.7,67.42,Average Performer
STU0016,41.5,56.5,68.6,52.5,52.12,Average Performer
STU0017,73.0,48.0,78.0,50.0,64.4,Average Performer
STU0018,74.3,60.2,74.2,71.0,70.8,Average Performer
STU0019,68.9,75.0,97.5,47.4,71.54,Average Performer
STU0020,74.1,88.0,73.3,89.0,79.7,High Performer
STU0021,40.1,52.3,96.8,48.9,55.64,Average Performer
STU0022,78.3,80.2,34.3,65.2,67.26,Average Performer
STU0023,47.0,35.1,51.8,29.8,42.14,Needs Improvement
STU0024,49.6,51.6,54.7,59.2,52.94,Average Performer
STU0025,48.8,61.9,79.4,40.8,55.94,Average Performer
STU0026,58.9,64.2,32.9,52.4,53.46,Average Performer
STU0027,92.9,92.6,92.9,97.7,93.8,High Performer
STU0028,83.5,79.1,74.1,73.9,78.82,High Performer
STU0029,47.5,46.7,90.9,59.2,58.36,Average Performer
STU0030,58.1,31.3,70.7,53.0,54.24,Average Performer
STU0031,68.0,77.6,94.2,68.1,75.18,High Performer
STU0032,100.0,97.0,74.6,100.0,94.32,High Performer
STU0033,81.9,84.2,89.1,92.8,85.98,High Performer
STU0034,93.0,71.7,69.5,64.0,78.24,High Performer
STU0035,58.6,47.9,67.5,48.9,56.3,Average Performer
STU0036,35.9,36.1,86.5,51.2,49.12,Needs Improvement
STU0037,62.1,68.3,78.3,92.3,72.62,Average Performer
STU0038,54.0,48.7,83.5,71.2,62.28,Average Performer
STU0039,62.0,63.9,80.7,72.0,68.12,Average Performer
STU0040,67.9,72.7,89.2,63.5,72.24,Average Performer
STU0041,83.7,81.0,81.9,87.1,83.48,High Performer
STU0042,100.0,100.0,67.4,97.7,93.02,High Performer
STU0043,62.2,48.8,76.7,39.7,57.92,Average Performer
STU0044,84.3,70.7,58.3,92.1,77.94,High Performer
STU0045,83.2,82.7,82.0,88.6,83.94,High Performer
STU0046,93.3,65.8,68.2,81.7,80.46,High Performer
STU0047,43.5,50.2,98.2,55.9,58.26,Average Performer
STU0048,54.9,57.9,79.9,35.3,56.58,Average Performer
STU0049,100.0,88.7,79.5,84.7,90.58,High Performer
